review,sentiment
tự động hóa sài tốt,positive
Ko tốt chút nào,negative
ứng dụng đồng bộ tốt,positive
rất tốt tôi rất thích,positive
"Thấy hài lòng quá,cho 5 sao",positive
Rất thích ứng dụng này ạ!,positive
Rất tốt. Thật tuyệt vời,positive
Sài rất là OK,positive
tôi thấy rất cần thiết !,positive
Bảo mật đẳng cấp,positive
Ứng dụng quá tuyệt,positive
Ứng dụng tốt nhiều chức năng,positive
Tự động sao ảnh tốt,positive
Google photos ứng dụng rất tốt..!,positive
Ứng dụng tuyệt voi,positive
"Rất tốt, ngon bổ rẻ",positive
Có cập nhật được đâu !?,negative
Ứng dụng rất tốt...mình rất thích,positive
phần mềm hữu dụng thanks Google,positive
ok tốt không sợ mất,positive
Tuyet voi tren ca tuyet voi,positive
Chân thành cảm ơn,positive
Rất tốt và thú vị,positive
"Rất tốt , đạt yêu cầu....",positive
hay có tự làm đẹp,positive
"thu dung ,,,,cho 5 sao",positive
Ko so mất ảnh,positive
Ứng dụng này rất hay,positive
Trữ nhiều nhưng tìm lâu,neutral
Toi thay rat hay,positive
Thiết thực cho người sử dụng,positive
Rất  Hay  Và  Thích mục này,positive
"Tuyệt vời, đẹp, tiện lợi",positive
Chỉnh sửa ảnh rất đẹp,positive
Đáng để cài đặt,positive
Chut nang nhanh tot de sai,positive
SAO CU BAO LOI GOOGLE PHOTOS?,negative
Không lo mất ảnh,positive
Rất tốt & hữu ích,positive
Khá tốt các bạn a,positive
tot cho 5sao lun,positive
Tuyet voi khi mang khỏe,positive
Mình cần nhiều dung lượng hơn,negative
Tốt tôi hài lòng,positive
lưu lại được rất nhiều ảnh,positive
rất thú vị và tiện lợi,positive
Tôi thích ứng dung này,positive
được đấy tôi cho 5*,positive
"Ok, nhưng gb ít quá",positive
Tốt tốt lắm rồi,positive
gữa ảnh rất tốt .🥰,positive
Lưu giữ kỉ niêm,positive
cực kỳ sắc nét tuyệt vời,positive
"Ứng dụng tốt, rất hài lòng",positive
Đơn giản và năng động .,positive
ứng dụng này thật hay,positive
Ứng dụng cực hữu ích,positive
Hình ảnh màu sắc đẹp,positive
Ki niem ko bao gio mat,positive
Rat tot vang rat tot,positive
Ung dung hieu qua. Tot,positive
Ứng dụng rất hữu ích.,positive
Tuyệt vời. Số 1 trái đất,positive
Cập nhật nhiều quá,negative
Tôi rất thích điều này.,positive
Tai ve cham qua nha mang,negative
Tuyệt vời 5sao!cảm ơn!,positive
Load ảnh chậm ..,positive
rất tuyệt vời. like,positive
Không thể sao lưu ảnh được chụp từ các thiết bị đã được kết nối tài khoản google,negative
Cảm ơn google photo lưu giữ và làm cho những khoảnh khắc của tôi thật ý nghĩa,positive
Cho 4 sao con môt sao de trải nghiệm song tốt cho nốt,neutral
"Rất hữu ích ko mất dữ liệu, nhưng tăng được dung lượng lên thì tốt quá.",positive
"Lưu trữ đc nhiều k lo mất dữ liệu ảnh. Rất hay, thanks add",positive
Android 4.4 đéo dùg được bắt lên 5.0 mới dùng được cái địt mẹ bay,negative
Dễ dàng cập nhật và lưu thông tin,positive
Bản cập nhập mới bị lỗi sao lưu và đồng bộ rồi. Mong GG fix lỗi nhanh,negative
Khong lo mat anh khi bi loi,positive
Tự động sắp xếp ảnh khá tốt,positive
Ở đây có thể giữ lại những kỷ niệm của mình,positive
"Hay lam,....nen cap nhat them de dc hay hon nua.",positive
"Ứng dụng sài rất tốt, sao lưu ảnh cực nhanh chóng.",positive
Ung dung tot ko so mat anh khi xoa nham,positive
Rất tốt... đôi khi lỡ tay xóa vẫn lấy lại đc,positive
Ứng dụng rất tiện lợi ..... cảm ơn tác giả,positive
Ứng dụng để lưu trữ ảnh rất tốt.,positive
Ko lo mất ảnh khi hỏng máy,positive
Chờ cả nữa tiếng không lên hình,negative
Hiệu quả lưu giữ ảnh tuyệt vời.,positive
Rất hay. Tôi rất thích sử dụng,positive
Tuyệt vời. .. k bị mất ảnh nữa,positive
Tại sao Tôi ngồi tải hình cả tiếng đồng hồ Nhưng khi vô app thì ko có Làm ăn kiểu j v,negative
"Chờ đợi lâu rồi, dung lượng không hạn chế, có thể tùy biến thư mục",positive
"Hình ngta tự nhiên đem phóng to đùng ra để cài hình kđại diện, chọn cở mặc định lúc chụp k được.thiệt là bực.",negative
"Ứng dụng kì cục vậy cập nhật hoài mà cập nhật toàn phải cái thứ gì đâu, video không xem được cái nào, đứng im luôn, thật sự QUÁ TỆ",negative
Hình ảnh chất lượng cao rất đẹp  thích hợp với những chuyến du lịch cùng bạn bè và gia đình,positive
"Cái tính năng tua video đâu mất rồi ad, cái nút &gt;&gt; để tua video mà mất làm bất tiện quá . Mong rằng sẽ có điều chỉnh ở bản cập nhật tiếp theo :)",negative
"Đồng bộ nhanh, không giới hạn, đảm bảo luôn luôn lưu trữ được những khoảnh khắc quan trọng không cần quan tâm đến dung lượng bộ nhớ. Tuyệt vời nhất là hoạt động tốt trên cả smartphone android và ipad của mình",positive
Tôi rất thích ứng dụng này gì có nó tối dễ dàng chỉnh sửa ảnh của tôi. Tôi rất thích ứng dụng này quá tốt cho chúng ta.,positive
Tuyệt vời giữ lại các bức ảnh mà trước đây mình cứ tưởng mất.,positive
"Tuyệt. Có những hình mình tưởng chừng đã mất từ rất lâu rồi, giờ lại thấy. Thanks best.",positive
"App này hay nè, để chuyển ảnh từ android qua ios khỏi phải cực nhiều nà! Yêu ❤",positive
Cập nhật và sao lưu ảnh rất nhanh. Có thể tự động tạo hoạt ảnh và phim. Thật tuyệt vời!,positive
Thình ảnh không chắc lượng kém quá khong đẹp bị mờ mong nhà sản xuất sửa lại,negative
Dùng hay hỗ trợ sao lưu tốt thêm cả chỉnh sửa ảnh đẹp,positive
Good nh crop ảnh còn hạn chế,neutral
Hình ảnh trước đây kg bị mất thật tuyệt vời,positive
Ghi lai nhung khoang khat tuyet voi cua toi,positive
Sắp xếp theo thời gian hay thật,positive
cập nhật xong vào thì bị đứng máy không dùng được mà không cập nhật thì không sao lưu được,negative
Sai cung duoc can co gan them nhe.cai thien anh ghep  them con thieu nhe.,neutral
Bớt xóa dữ liệu ng khác linh tinh đi mấy con khốn kiếp,negative
cái này lưu lại tất cả các ảnh cũ thật là tuyệt,positive
Ủng Hộ cho chế độ lồng nhạc và chỉnh sửa video đi ad,neutral
Sử dụng tốt. Cập nhật lên gg ảnh trên lap nhiều khi hơi chậm.,positive
ứng dụng này tự ghép ảnh rất hay và thú vị,positive
Phần mềm mới chỉnh sửa ảnh không được,negative
Ứng dụng dùng rất tiện lợi. Xin cảm ơn google.,positive
Những hình ảnh lỡ xóa đi rồi thì vẫn lưu lại đc,positive
Rất tốt cũng nhờ nó mà tôi có thể troll bạn bè,positive
Cũng tam được nhung mà mát nhưng cái quan trong ko à,negative
Rất thích ứng dụng tốt và tiện ích,positive
Tat ca hinh anh truoc day dc giu lai.good,positive
Rất thích nó lưu lại kỉ niện của tui,positive
Ứng dụng cc đỉ mẹ mày mày cc mày tạp ra ứng dụng tào láo con cc,negative
"Ép người khác sử dụng, phần mềm vớ vẩn, chả tác dụng gì",negative
Chỉnh sửa anh không có nhiều chức năng,negative
Ứng dụng rất thích với đt oppo A37 của tôi,positive
"Quản lý ảnh tốt, bộ lọc đẹp, nhanh và mượt",positive
Ảnh chụp  đươck lưu lại sao lại mất không tìm thấy?,negative
Co the tim lai ma k may anh cu,positive
Ứng dụng này rất hay cam ơn nha sx,positive
Hang chat luong cao hieu qua dat nang xuat cao,positive
sao lại ko thể cập nhật đi là sao vậy ad @@,negative
Cập nhật xong Đồng bộ vẫn kém,negative
S zô ko đc z Cập nhật cũng ko đc,negative
Ép người dùng cập nhật liên tục,negative
Ứng dụng của Google luôn tuyệt vời,positive
Hìh ảh nhiều năm truoc vẫn còn,positive
Khá tốt cho 5 sao động viên,positive
Đã và đang sử dụng!! Ứng dụng rất hữu ích!,positive
D.m cai ung dung lol...xoa deo dc,negative
"Tại sao lại cứ phải có mạng thì mới xem ảnh được cơ chứ, ảnh đã có sẵn trong máy rồi, mà sao cứ phải mở mạng lên, thì mới xem được cơ chứ 😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬",negative
củng rất gọn gàng và ngăn nắp !  Tôi thích điều này cho google 10 sao hihi,positive
Chỉ một số ảnh cần sao lưu thôi. Chứ đâu muốn sao lưu hết. Bật sao lưu cái tự động sao lưu hết. Không chọn riêng các ảnh cần sao lưu được. Đúng là google không có não. Xài mắc bực. Trong thư viện ảnh nhiều ảnh công việc. Đâu cần sao lưu đâu,negative
Sau khi cập nhập không lưu được ảnh rất bực khi tốn thời gian cập nhật,negative
"Địt mẹ cái bọn chó,sao chép photo cái con cạc làm sáo trộn hết ảnh của bố mày.",negative
"Các bạn nên sử dụng ứng dụng này, giúp giữ ảnh và troll ảnh rất tuyệt vời.",positive
Chụp hình = camera B612 vẫn chưa load lên đc nhé,negative
"Xài cũng đc, nhưng mà tốn thêm dung lượng quá",neutral
"Rất tiện lợi cho việc lưu trữ ảnh, video",positive
Giữ ảnh teen đây ko sợ mất khi mất đt,positive
"Lưu trữ được ảnh, khi cần thì vẫn còn",positive
Sao lưu free tiện lợi. Mình thích điều đó.,positive
Lưu lúc nào tải về cũng ok,positive
Tải hơi chậm nhưng nhìn chung là tốt.,positive
"Tất cả ảnh được đồng bộ lên đây,lúc nào muốn lấy lại có thể tải về.",positive
Mình dùng google photos trên nhiều thiết bị nên thấy khó quản lý ảnh. Nên bổ sung thêm tính năng tìm kiếm hình theo máy được chụp,neutral
"Sao cập nhật phiên bản mới xong không xem được những video clip nữa, chỉ thấy có tiếng, còn màn hình đen xì",negative
Làm sao để đc trở về phiên bản củ với những ứng dụng chỉnh sửa ảnh đa năng đó... phiên bản mới phần chỉnh sửa ảnh chán phèo và không thông dụng,negative
"Sao lưu nhanh chóng,tự tạo ảnh thư viện vui nhộn tuyệt vời xứng đáng để chọn làm trình sao lưu ảnh.",positive
Cần cải thiện tự động sao lưu. Sao sao lưu cứ kêu: không thể truy xuất sao lưu.,negative
Có những video và ảnh lở tay xóa nhưng may vì có ứng dụng này nên vẫn còn,positive
Giup cho viec luu tru photo de dang va tien loi,positive
lỗi không Sau lưu Được 'bật sau lưu toàn là bảo không thể thay đỗi tài khoản,negative
Sao masstel star 550 minh tai xuong nhung sao vao ung dung yeu cau dong ung dung ko vay,negative
Nên có chế độ xem ảnh backup theo thư mục. Để dễ quản lý ảnh backup,neutral
ứng dụng rất hay. nếu xóa được hình mà ko cần xóa ảnh gốc thì hay wa,positive
"Nhiều tiện ích thú vị .Hữu ích đa năng , dể sử dụng . công nghệ tầm cỡ . ok!",positive
Nếu có thêm phần tìm kiếm ảnh bị trùng thì hoàn hảo,neutral
Ảnh và VIDEO tự quây rất quý đối với mỗi người !,positive
Ứng dụng rất hữu ích và thông minh!,positive
"Hay, cần thêm chút tính năng gép ảnh nữa",positive
Hâm mộ tất cả các sản phẩm của Google,positive
Xóa ảnh rồi hồi phuc khong xóa vĩnh viễn được,negative
Mọi nơi có thể coi lại ảnh của mình,positive
"Rất đầy đủ, chính xác, hữu ích cho người dùng. Cám ơn",positive
Trả lại cho e bản cũ đi,negative
"Tính cho 10 sao,mà có 5 sao nên cho 5 sao",positive
Cần có thể tải hình ảnh về máy,neutral
K thích cái ứng dụng mới này tý nào cả.,negative
Quá oke có phần lọc ảnh giống nhau nữa thù tuyệt vời,positive
Khi xóa hình ảnh và khôi phục lại bị mất rất nhiều ảnh,negative
Không có mật khẩu bảo mật Rất dễ lộ thông tin cá nhân,negative
Rất vui khi nhận được những bức ảnh được làm từ Google Photos,positive
Kh cập nhật thì kh được xài ứnh dụng là sao,negative
Hinh anh cua google photos rat song dong va dep,positive
Ứng dụng này rất hay tôi rất là thích nó,positive
Rất tốt và tiện lợi. Mình rất thích,positive
Sao tự nhiên bị mất hình hết,negative
Rat nhanh minh thich nhu vay do,positive
Không thấy đồng bộ ảnh của zalo,negative
Ứng dụng tuyệt vời 👏 tôi rất thích bạn 💝💖,positive
Google quá chậm tiêm kiểm không nhanh.,negative
Rất hoàn hảo . Xin cảm ơn,positive
Tiện lợi.. những ảnh cũ vẫn còn,positive
Nó rất tuyệt vời Nó rất hay,positive
"Thích,nhưng các ứng dụng không vào được ảnh của google photos",neutral
Ứng dụng này đã giúp tôi có thể xem đi xem lại những bức hình cũ,positive
"Thật thú vị , thank you !",positive
Kho lưu trữ ảnh & video rất tiện dụng. Google Photos cần gợi ý người dùng xóa những hình ảnh trùng nhau & tăng thêm bộ nhớ lưu trữ miễn phí cho người dùng nữa là OK Thank you,positive
"Có những ảnh đã lưu rất lâu nhưng bây giờ chỉ có một màu đen, không tải ảnh được. Xin ad xem lại giúp !",negative
Ứng dụng này rất hay và có thể lưu trữ nhiều hình ảnh kỉ niệm và có một dung lượng lớn. Tui rất thích ứng dụng này,positive
"Một ứng dụng tuyệt vời của Google , tôi thường xuyên dùng app để lưu trữ cảm ơn Google đã làm ra ứng dụng android này ..",positive
"Rất tốt, đặc biệt ở chức năng tìm kiếm. Sẽ tốt hơn nữa nếu cho phép gắn thẻ gương mặt bằng nhân công.",positive
Lưu trữ hình ảnh dù cho điện thoại bạn mất hết hình ảnh thì lúc nào bạn cũng có thể lấy lại được dễ dàng. Mình rất thích phần mềm này rất hữu ích cho những người lưu trữ hình ảnh nhiều mà không có đủ bộ nhớ lưu trữ. Cảm ơn Ad,positive
Hữu ích..khi thẻ nhớ hoặc dt bị hư... Tài liệu hok bị mất..cám ơn ad,positive
Good tôi có thể lưu trữ hình ảnh khoảnh khắc,positive
Ứng dụng hay mang lại hình ảnh sắc nét,positive
Tái hiện đủ hình Ảnh đã có trong Abum,positive
Cho ổn định nó nhanh hơn thì hay,neutral
mỗi lần chụp ảnh mới là bị lỗi.,negative
Ung dung tốt nge ae...ae cung mjh xai ung dung nay,positive
Tiện lợi. Lưu trữ dc nhiều. K bị mất ảnh.,positive
"app rất hay bổ ích , vote 5*",positive
Hay hữu ích nhưng tại sao giờ không thể mở được Google photo khi mở toàn hiện lên thông báo che kín màn hình điện thoại và không thao tác gì được nữa,positive
"ứng dụng này rất hữu ích ,cám ơn nhiều .",positive
Noi chung la ok xin cam on,positive
tính năng nhóm anh theo album rất ok.nhưng khi xóa ảnh ở bên ngoài thì ảnh bên trong cũng mất luôn.rất bất tiện khi dọn dẹp xóa bớt anh.nếu có thể hãy tạo chức năng khi đưa ảnh vào album thì bên ngoài ko còn ảnh đó nữa.cảm ơn,neutral
Tại sao ko có biểu tượng google trên màn hình đt mà phải vào drive mới mở được. Từ khi nâng cấp phiên bản mới là bị lỗi như vậy 😂😂😂,negative
Bo nho may thi duoc 8 G vua du ung dung luc nao cung len cap nhat ung dung ko coi duoc anh cho 1 sao thou,negative
"Chức năng restore ảnh đã khiến những bức ảnh của tôi bị giảm chất lượng đáng kể, tôi đã mất ảnh gốc, mong quản trị khắc phục lỗi này ☹",negative
Ok đồng bộ hình từ iOS qua Android nhưng lại free rất ok mặc dù phải đánh đổi chất lượng giảm đi!,neutral
Bảo đã lưu trữ mà tới khi nhấn dọn dẹp file ảnh thì kiểm tra lại không có lưu. Hic,negative
"google ảnh của tôi sao vào lại tự Qut ra ngoài vậy , mong xem xét khắc phục giùm .",negative
"Khá ổn. Đợt trước đổi máy, suýt mất ảnh mà nhớ ra trên này vẫn còn :3",positive
Thiếu phần thu nhỏ màn hình để thấy tất cả ảnh và thời gian... Như bản trước khi cập nhật...,negative
Tạm chấp nhận cũng sài đc nhìu lúc bị rò rỉ thông tib mong nhà sản xuất sửa chữa!!!!,neutral
that la huu ich cho moi nguoi tren xa hoi chung ta phai hieu duoc,positive
Rất hay Còn có thể giải phóng dung lượng nữa Trên cả tuyệt vời,positive
Phổ biến và dễ sử dụng !,positive
Trình xem và quản lý ảnh tuyệt vời,positive
Cám ơn bạn đã lưu giữ giúp những hình ảnh này,positive
Tôi rất thích mong sẽ đc cải thiện nhiề hơn,positive
Hay vì nó lưu được những gì đã mất đi,positive
Ứng dụng rất tốt. Chạy ổn không có lỗi vặt,positive
Ứng dụng thông minh và rất tiện lợi.,positive
"Thích, không ai để ý hình của mình",positive
Tot toi rat thich ung dug nay,positive
Hay lưu ảnh sex rất dễ tìm v:,positive
Cần có tính năng block ảnh & video,neutral
"Xếp thời gian ngày lun tung, hình lúc cập nhật lúc không😡😡😡😡😡",negative
Qua hay ..nêu tim đc anh cu,positive
"Đôi khi đi trải nghiệm , muốn để lại những khoảnh khắc hình ảnh! Nhưng không rõ nét lắm , làm những trải nghiệm ấy mờ nhạt ..!",negative
quá tốt.. cảm ơn nhà mạng Gôgle . photos,positive
Tuyệt vời ! Cám ơn rất nhiều,positive
Ứng dụng được nhưng cần có thao tác chụp thì tải lên ngay và khôi phục ảnh👌,neutral
nhiều cái ảnh tui vào xemm phải mạng khỏe mới xemm được mạng yếu là nó mờ khiến tui thấy khó chịu lắm đề nghị nhà phát triển sữa lại vấn đề này,negative
"Lưu trữ được nhiều hình ảnh Muốn xem lúc nào cũng được, chỉ cầm có điện thoại là xem được hình khi đi bất cứ nơi đâu. Xin cảm ơn Gpogle Photo rất nhiều.",positive
Muốn tắt mà cứ thỉnh thoảng nó lại tự động bật . Muốn dấu diếm bí mật thì quá nguy hiểm lếu ko để ý,negative
trợ lý ảnh rất hay. tự động chọn ảnh đẹp nhất rồi chỉnh màu. đi chơi về đồng bộ ảnh chỉ chờ thông báo của google ảnh,positive
ứng dụng tuyệt vời đã được người tuyệt vời sáng tạo ra. rất mong ứng dụng sẽ mãi thành công. phât triển,positive
"Rất nhanh chóng tiện lợi màu đẹp hình ảnh sắc nét , , , Xin trân trọng cảm ơn rất nhiều ,",positive
Khi su dung zalo fb .. thi không thấy ảnh. Để gửi đi hay đăng tải.,negative
"Rất nhanh chóng và tuyệt vời , Xin trân trọng cảm ơn googlephotos rất nhiều ,",positive
R ất hữu ích. Mất máy mấy lần nhưng ảnh vẫn còn hết,positive
nhất google rồi đấy . giúp cho thế giới lưu trữ hình ảnh nhiều hơn nữa,positive
Đã tắt mà cứ tự động cài đặt lại cho 1 sao,negative
Tôi muốn lưu giữ những gì mình đang có. Xin cảm ơn,positive
Khá tốt. Có chức năng viết chữ lên ảnh là tuyệt vời,positive
Tuy tốt nhưng thao tác sử dụng vẫn còn chạm và hơi lag...,neutral
Không dùng được khó lắm mọi người chú ý khi tải,negative
Lưu trữ ảnh facebook của mình không thấy ở đâu vậy,negative
Rất Hữu Dụng Cho Việc Lưu Trữ Hình Ảnh Video,positive
Tôi thấy GOOGLE Photos có vẻ được và hợp lý,positive
Phiên bản mới này không phát được video lưu trữ,negative
chế độ Tìm kiếm ảnh dễ dàng hơn rất tốt,positive
Cảm ơn bạn về ứng dụng này rất là tốt,positive
Rất hay vầ bổ ít mọi nê cho 5 sao,positive
Tôi đã mất hết ảnh và video mà không hề xoá 😒😒,negative
rất tuyệt vời cảm ơn Google Photos,positive
Tuyệt vời ae nên tải về cặp nhật nhẹ,positive
Hình này hay điều chỉnh video ko rung đẹp,negative
Một số tính năng không liên kết được khi tạo phim ...,negative
hinh anh 1 2 nam truoc kg còn thay,negative
Tôi rất hài lòng về ứng dụng này,positive
Ứng dụng rất tốt .Dể mở ảnh đẹp,positive
TẤT CẢ MỌI HÌNH ẢNH ĐỀU TỐT,positive
Tot rat ung yvatloi De su dung,positive
Rat y nghia va thu giang ok,positive
Tại sao tôi phải cài đặt phiên bản mới😠😠😠,negative
Cần nâng cao kỷ thuật hơn nữa.....,neutral
"Ứng dụng này ko tốt Chỉ 1 Sao th🍸🌹🌹🍸🌹🌹🍸 🌹🌹🌹🌹🌹🌹🌹 🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸🌹🌹🌹🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸🎁😊❤☺🎁🍸 😜😍🏰🎽✨💎💎✨💎💎✨ 💎💎💎💎💎💎💎 💎💎💎💎💎💎💎 ✨💎💎💎💎💎✨ ✨✨💎💎💎✨✨ ✨✨✨💎✨✨✨ôi nhưng tôi tốt tôi cho 1 sao tôi,. tên Nguyễn thị thuỳ trang \",negative
Ok tot lam luon duoc trai nghiem theo y minh,positive
khi được sử dụng thường xuyên sẽ hiểu mong muốn của người sử dụng hơn. best AI,positive
So với bộ sưu tập của Samsung electronic phát hành thì vẫn thích sài cái này hơn nhiều vì lỡ xóa nhầm thì vẫn còn 2 tháng(60 ngày)để khôi phục lại trước khi xóa hẳn chứ không như bộ sưu tập bấm xóa nhầm là mất luôn,positive
Google nên có khóa ứng dụng để bảo vệ tài lieu trong ứng dụng khi nguoi khac sử dụng điện thoại cua mình,neutral
"cuối cùng thì google mới có một sản phẩm chấp nhận được. đơn giản dễ thao tác, không cần mất quá nhiều thời gian để thao tác chi tiết. Tuy nhiên đối với ảnh chụp sân khấu thì phải cân nhắc lại chế độ màu da. những phần khác đều đang ổn. rất mong bác Gồ tiếp tục giữ phong độ và cải thiện luôn những sản phẩm khác. Trân trọng.",positive
Tuyệt vời nếu có lọc ảnh trùng lặp nữa thì còn tuyệt vời hơn 👍,positive
Cảm ơn nhà mang đa chuyên thông tin của ban bè đây đủ và chinh xác xin cảm ơn,positive
"Ứng dụng Google Photos đem lại nhiều kết quả khả quan cho người xử dụng, rất tuyệt vời !",positive
"ứng dụng hay, lưu trữ rất tốt và hiệu quả",positive
Tốt nhưng mất google lens tích hợp rồi,positive
was tuyệt vời kho lưu trữ di động có thể truy cập mọi lúc mọi nơi,positive
Có cái ảnh offilne mà cx bắt cập nhật như lone,negative
"tôi muốn ảnh tự động xóa, sau khi đã cho vào album...",neutral
Không thể sao lưu ảnh được như trước kia,negative
không thể tải file lên được. quá vớ vẩn .,negative
Tôi thấy ứng dụng này rất tuyệt vời,positive
hình ảnh kỷ niệm lưu được là ok,positive
Không đồng bộ được toàn báo lỗi,negative
tuyệt vờ.i và trên cả tuyệt vời... i,positive
ứng dụng lưu ảnh không giới hạn tuyệt vời đồng bộ được các thiết bị pc tablet smartphone,positive
"Như con cẹc.cập nhật liên tục, mà ko được thêm tiện ích gì Thg phát triển ứng dụng này là thg mấtdậy 🐯🐯vô zăn hóa🐯🐯 Gặp thg phát triển ứng dụng này tao bắn mày luôn á. 😈😈",negative
Ứng dụng tuyệt vời ! hy vọng không đóng cửa... 😅😅,positive
Backup hình ảnh video cực tốt. Dễ dàng quản lí và sao lưu không lo mất hình ảnh,positive
Dung lượng dùng thoải mái không phải suy nghĩ.,positive
vl sao mình lưu ảnh năm nay mà để năm 2004 z lúc đó mình chưa đẻ nữa 😢,negative
"Rất tuyệt vời, Thank you very much Google photos!",positive
ad cho thêm tính năng lọc ảnh trùng lặp nữa là tuyệt vời lắm ạ,positive
Google photo có nhiều tính năng hay hình ảnh lại đẹp.cố gắng phát triển thêm,positive
Toi thay ung dung nay rat la hay ve cuoc doi cua toi,positive
tôi thích thú với những điều kiện mà nó mang lại cho tôi,positive
Lưu giữ được những kỷ niệm. rất có ích với mình,positive
Rất hay và hữu ích trong việc lưu trữ ảnh.,positive
rat tot ko so bi mat anh voi video...,positive
toi muon gom mot so album nho thanh mot album lon,neutral
cần phải cảo thiện nhận diện khuôn mặt,negative
Ứng dụng lap chip Theo dõi người khác,negative
Toi cam thay ung dung nay cung duoc,positive
Lưu ảnh về mà tải lên không được,negative
cái xem ảnh mà ko xóa được,negative
Lưu trữ đám mây tốt hơn 👍,positive
"Mất nhiều ảnh. Có một cái album toàn ảnh mình rất thích, tải về cũng tốn thời gian, vậy mà có lần muốn ngắm thì thấy mất hơn phân nửa, giờ thì mất hết luôn.",negative
Ok ảnh cách điệu tuyệt vời nó sống động như thật,positive
ok henry very much rất tuyệt vời đấy,positive
"sao chỉnh ảnh trên google có wifi đàng hoàng 4 vạch mà lại ghi là ko chỉnh được, xem lại kết nối mạng là ntn?",negative
Có ý nghĩa lưu trữ tồn tại rất tuyệt vời đồng tình với những gì nhà mạng bảo vệ và cung cấp cảm ơn gắng 5 sao chính xác,positive
Ứng dụng tốt lúc truớc mk có dt cùi báp ko thể luu nổi ảnh nữa sau này mk chuyển dt mới nó có thể lưu ảnh và video trong tk goole thật tuyệt,positive
"Có thể lưu những hình ảnh lại để làm kỉ niệm, nếu đt bị hư thì cũng vẫn còn hình, tôi rất thích ứng dụng này",positive
Khiếm khuyết lớn: không lưu về điện thoại được hàng loạt ảnh. Lưu 1000 ảnh phải thao tác 3000 thao tác và 3000 lần chờ nó tải xuống đt tải 10Gb ảnh gốc nghĩ cũng nản. Đang từ 5 sao tức quá hạ xuống Nhất sao...,negative
"Ứng dụng dễ sắp xếp, quản lý, tuy nhiên nên có mục kiểm tra ảnh trùng nhau.",positive
Dùng tốt Có thể khôi phục ảnh Nhưng mình không xóa ảnh được Nên không tải game được,neutral
ứng dụng khá tốt nhưng mà sao lưu ảnh lại chậm z ạ,positive
không xóa được ảnh trong thẻ nhớ 😑,negative
Cần đăg nhập nua ha sao lưu duoc roi,negative
ko có mạn sem vi deo . ..hình ảnh ko đc là sao,negative
Ứng dụng phải có của tất cả smartphone,positive
Tôi k phải chụp lại nhưng ảnh xưa,positive
Dùng ứng dụng này rất tốt ạ,positive
"không thể trực tiếp xóa được ảnh, clip trong thẻ nhớ i can't delete the pic or video in this app. 😑😑😑😑",negative
tôi vẫn chưa thấy những ảnh và video mà tôi đã xoá muốn phục hồi hết thì phải làm thế nào,negative
Rất tiện lợi trong việc lưu trữ các file ảnh để xem lại mà không sợ bị mất,positive
Không hiện ảnh đã lưu trên đám mây cần khắc phục báo lỗi gần 2 năm rồi chả thấy khắc phục gì hết,negative
mất tính năng zom nhỏ ảnh để theo dõi theo thời gian,negative
